Sample_Code,y_true,y_pred_oof,residual,robust_z,mult,weight_before,weight_after
1K SAF,81.4,106.1636023829024,-24.76360238290239,1.9858019909936313,1.0,1.0,1.0
1K 5B,99.2,106.77279047911308,-7.572790479113081,0.41837365779801017,1.0,1.0,1.0
1K 10B,103.4,100.33935396749048,3.060646032509524,0.5511645909382348,1.0,1.0,1.0
1K 15B,98.8,109.22125555790832,-10.421255557908324,0.6780917499747856,1.0,1.0,1.0
3K-0X,104.2,105.23617526737581,-1.0361752673758104,0.17762354951341847,1.0,1.0,1.0
5K-0X,101.4,109.86835476333805,-8.468354763338041,0.5000296517759816,1.0,1.0,1.0
7K-0X,113.2,118.91442090667215,-5.714420906672146,0.2489307520356312,1.0,1.0,1.0
3K-1x,108.2,113.3791757916917,-5.179175791691691,0.20012803328562354,1.0,1.0,1.0
5K-1x,111.4,110.50342817767097,0.8965718223290366,0.353848067951491,1.0,1.0,1.0
7K-1x,133.8,113.49219524170711,20.307804758292903,2.1237305293716613,1.0,1.0,1.0
3K-3x,105.4,115.33448690329169,-9.934486903291685,0.6337090305763229,1.0,1.0,1.0
5K-3x,122.6,115.72154365315595,6.878456346844047,0.8992658959228671,1.0,1.0,1.0
7K-3x,132.6,124.61673968935709,7.983260310642905,0.9999999999999089,1.0,1.0,1.0
3K-5x,107.2,113.06298809665597,-5.862988096655968,0.26247685004817295,1.0,1.0,1.0
5K-5x,113.4,116.38426626758329,-2.98426626758328,0.0,1.0,1.0,1.0
7K-5x,124.8,123.59030238741781,1.2096976125821897,0.3823983329560703,1.0,1.0,1.0
13a-1a,100.0,102.13720635479963,-2.1372063547996305,0.07723344974292007,1.0,1.0,1.0
15a-1a,87.0,109.83583889153256,-22.83583889153256,1.8100318683848708,1.0,1.0,1.0
17a-1a,93.33333333,126.42462698787809,-33.09129365787808,2.745106398927129,0.9259017187478747,1.0,0.9259017187478747
23a-2b,116.6666667,104.31795583191938,12.348710868080616,1.398034189960664,1.0,1.0,1.0
25a-2b,105.6666667,119.39886799272139,-13.732201292721399,0.9799780240765498,1.0,1.0,1.0
27a-2b,89.0,133.44906667460833,-44.44906667460833,3.780688390520182,0.672284639825264,1.0,0.672284639825264
33a-3c,134.0,114.28018625043684,19.71981374956316,2.070118531758906,1.0,1.0,1.0
35a-3c,114.6666667,112.28068862887733,2.385978071122665,0.48964953952033213,1.0,1.0,1.0
37a-3c,146.6666667,119.85503519750011,26.811631502499893,2.716738141235437,0.9355700110856395,1.0,0.9355700110856395
33b-2a,156.5,131.78358095870715,24.716419041292852,2.5257003127640227,1.0,1.0,1.0
35b-2a,159.5,145.6429797694529,13.857020230547107,1.5355592145601757,1.0,1.0,1.0
37b-2a,170.0,135.06397222849,34.93602777151,3.457506464071209,0.7351247956654783,1.0,0.7351247956654783
13b-3b,119.6666667,109.26809973341646,10.39856696658353,1.2202234604778173,1.0,1.0,1.0
15b-3b,93.66666667,125.81381073135248,-32.14714406135248,2.659020480667315,0.9558778322288614,1.0,0.9558778322288614
17b-3b,116.5,125.31544009521485,-8.815440095214853,0.5316762887274569,1.0,1.0,1.0
23b-1c,138.6666667,107.42963333777925,31.237033362220757,3.1202385866782776,0.8145847384120206,1.0,0.8145847384120206
25b1c,106.3333333,127.44160517607175,-21.10827187607174,1.652515312291868,1.0,1.0,1.0
27b-1c,101.6666667,127.9050873010845,-26.238420601084513,2.120273351301063,1.0,1.0,1.0
23c-3a,113.5,132.02007222901955,-18.520072229019547,1.4165277695590968,1.0,1.0,1.0
25c-3a,141.5,118.98725912121928,22.51274087878072,2.3247727702781087,1.0,1.0,1.0
27c-3a,133.0,136.0728484205719,-3.072848420571887,0.008076766658077786,1.0,1.0,1.0
33c-1b,126.3333333,122.29019048904374,4.043142810956269,0.6407469385568131,1.0,1.0,1.0
35c-1b,128.6666667,116.60552538625026,12.061141313749744,1.3718140981031475,1.0,1.0,1.0
37c-1b,108.3333333,123.1604785843061,-14.827145284306098,1.079813113034382,1.0,1.0,1.0
13c-2c,115.5,121.52886429760721,-6.028864297607214,0.2776011535789749,1.0,1.0,1.0
15c-2c,102.3333333,120.76326985524054,-18.42993655524053,1.408309355577046,1.0,1.0,1.0
17c-2c,127.6666667,120.30473544419395,7.3619312558060415,0.9433482973206255,1.0,1.0,1.0
