Sample_Code,Layer_Count,Mxene_Rate,Layer1_B4C_Rate,Layer2_B4C_Rate,Layer3_B4C_Rate,Layer4_B4C_Rate,Layer5_B4C_Rate,Layer6_B4C_Rate,Layer7_B4C_Rate,MA_Time_h,Pressure_MPa,Sinter_Time_min,Sinter_Temp_C,Max_Compressive_Load_N,Max_Deformation_mm,Max_Compressive_Strength_MPa,Max_Strain_Percent,Toughness_MJ_m3,Sintered_Density_g_cm3,Hardness_HB,Green_Density_g_cm3,Sample_Code_Normalized,Process_Type,Layer_Count_from_code,Mxene_Rate_from_code,B4C_Outer_wt,Is_FGM,B4C_Center_wt,B4C_Mean_wt,B4C_Gradient_wt,Phase
15b-3b,5,0%,,,,,,,,1,400,180,570,28744.46795,6.94062,186.727517,27.76248,41.29441443,2.5702,93.66666667,,15B-3B,Taguchi,5.0,0.0,,False,,,,1
17b-3b,7,0%,,,,,,,,1,400,180,570,19248.39455,3.815,125.0398834,15.26,13.20483102,2.5129,116.5,,17B-3B,Taguchi,7.0,0.0,,False,,,,1
23b-1c,3,0%,,,,,,,,2,400,60,590,35526.25676,10.34542,230.7828318,41.38168,72.29277513,2.5894,138.6666667,,23B-1C,Taguchi,3.0,0.0,,False,,,,1
25b1c,5,0%,,,,,,,,2,400,60,590,30399.83047,2.94308,197.4809508,11.77232,13.26696426,2.5121,106.3333333,,25B-1C,Taguchi,5.0,0.0,,False,,,,1
27b-1c,7,0%,,,,,,,,2,400,60,590,29432.69865,2.47494,191.1983463,9.89976,7.779924976,2.6235,101.6666667,,27B-1C,Taguchi,7.0,0.0,,False,,,,1
23c-3a,3,0%,,,,,,,,2,500,180,550,52203.34768,12.01966,339.1192179,48.07864,96.6693942,2.6957,113.5,,23C-3A,Taguchi,3.0,0.0,,False,,,,1
25c-3a,5,0%,,,,,,,,2,500,180,550,51777.15067,11.23056,336.3505909,44.92224,89.41167998,2.6923,141.5,,25C-3A,Taguchi,5.0,0.0,,False,,,,1
27c-3a,7,0%,,,,,,,,2,500,180,550,44281.63388,12.272,287.6588134,49.088,90.734911,2.5592,133.0,,27C-3A,Taguchi,7.0,0.0,,False,,,,1
33c-1b,3,0%,,,,,,,,3,500,60,570,33691.23641,9.42304,218.8623192,37.69216,66.85918849,2.56204,126.3333333,,33C-1B,Taguchi,3.0,0.0,,False,,,,1
35c-1b,5,0%,,,,,,,,3,500,60,570,32945.53874,9.61513,214.0181775,38.46052,73.19996582,2.50794,128.6666667,,35C-1B,Taguchi,5.0,0.0,,False,,,,1
37c-1b,7,0%,,,,,,,,3,500,60,570,29997.07135,4.72665,194.8645792,18.9066,28.66728046,2.60204,108.3333333,,37C-1B,Taguchi,7.0,0.0,,False,,,,1
13c-2c,3,0%,,,,,,,,1,500,120,590,38669.28808,9.75372,251.2003409,39.01488,74.20931436,2.42888,115.5,,13C-2C,Taguchi,3.0,0.0,,False,,,,1
15c-2c,5,0%,,,,,,,,1,500,120,590,36875.45566,9.66473,239.54739,38.65892,72.33104787,2.48576,102.3333333,,15C-2C,Taguchi,5.0,0.0,,False,,,,1
17c-2c,7,0%,,,,,,,,1,500,120,590,29466.13932,3.17147,191.4155809,12.68588,15.09549884,2.40698,127.6666667,,17C-2C,Taguchi,7.0,0.0,,False,,,,1
